,2025,2030,2040,2050
PV,566.5278364,471.5238759,346.742085,287.1864245
WT,958.6255024,869.1873808,783.603461,698.0195412
PEM,1041.722528,695.408,425.04,154.56
SOE,2115.623336,575.232,479.2,383.2
LiB,1364.351982,1143.639219,967.2815407,791.004471
HST,2246.048104,1956.238603,1173.727498,912.9165696
SST,225.4045234,214.357459,193.8610436,175.3244528
RWS,637.8430428,606.5823871,548.5822379,496.1279427
MSR,10446.65362,9414.075857,7645.021133,6208.399955
CGG,11021.21957,9931.850029,8065.497295,6549.861952
