Province,2030,2040,2050
Anhui,0.694,0.529,0.49
Beijing,0.519,0.187,0.145
Chongqing,0.256,0.136,0.115
E_InnerMongo,0.792,0.592,0.546
Fujian,0.33,0.231,0.209
Gansu,0.407,0.209,0.176
Guangdong,0.332,0.239,0.218
Guangxi,0.334,0.242,0.222
Guizhou,0.276,0.161,0.14
Hainan,0.224,0.07,0.053
Hebei,0.254,0.169,0.151
Heilongjiang,0.599,0.44,0.404
Henan,0.49,0.325,0.291
Hubei,0.254,0.169,0.151
Hunan,0.409,0.235,0.222
Jiangsu,0.512,0.346,0.311
Jiangxi,0.436,0.301,0.272
Jilin,0.43,0.13,0.098
Liaoning,0.496,0.296,0.258
Ningxia,0.665,0.345,0.291
Qinghai,0.032,0.005,0.003
Shaanxi,0.601,0.456,0.423
Shandong,0.498,0.312,0.276
Shanghai,0.325,0.251,0.233
Shanxi,0.7,0.528,0.489
Sichuan,0.075,0.025,0.019
Sinkiang,0.713,0.485,0.435
Tianjin,0.536,0.344,0.306
W_InnerMongo,0.792,0.592,0.546
Yunnan,0.062,0.013,0.009
Zhejiang,0.386,0.257,0.23
