j,i,Caps
Anhui,Anqing,160
Anhui,Chuzhou,150
Anhui,Fuyang,2000
Anhui,Hefei,100
Anhui,Huaibei,900
Anhui,Huainan,1800
Anhui,Wuhu,500
Gansu,Lanzhou,200
Gansu,Linxia,100
Gansu,Pingliang,600
Guangxi,Qinzhou,1800
Guizhou,Bijie,200
Guizhou,Guiyang,300
Guizhou,Liupanshui,300
Guizhou,Qiannan,200
Guizhou,Zunyi,300
Hainan,Dongfang,1400
Hebei,Baoding,390
Hebei,Cangzhou,300
Hebei,Handan,450
Hebei,Hengshui,100
Hebei,Shijiazhuang,200
Hebei,Tangshan,630
Henan,Anyang,310
Henan,Hebi,800
Henan,Pingdingshan,100
Henan,Puyang,1200
Henan,Sanmenxia,540
Henan,Xinxiang,1500
Henan,Zhumadian,200
Heilongjiang,Daqing,200
Heilongjiang,Harbin,390
Heilongjiang,Qitaihe,980
Heilongjiang,Qiqihar,30
Heilongjiang,Shuangyashan,165
Hubei,Jingmen,500
Hubei,Yichang,550
Jilin,Tonghua,120
Jiangsu,Lianyungang,100
Jiangsu,Nanjing,500
Jiangsu,Suzhou,580
Jiangsu,Xuzhou,600
Jiangxi,Jiujiang,600
Liaoning,Dalian,800
E_InnerMongo,Chifeng,150
W_InnerMongo,Alxa,700
W_InnerMongo,Bayannur,420
W_InnerMongo,Batou,2100
W_InnerMongo,Ordos,11470
W_InnerMongo,Hohhot,3300
W_InnerMongo,Wuhai,1700
W_InnerMongo,Ulanqab,1170
W_InnerMongo,XilinGol ,1680
Ningxia,Wuzhong,150
Ningxia,Yinchuan,11740
Qinghai,Haixi,2420
Qinghai,Xining,800
Shandong,Dezhou,1900
Shandong,Heze,150
Shandong,Jinan,600
Shandong,Jining,1270
Shandong,Liaocheng,950
Shandong,Linyi,200
Shandong,Taian,400
Shandong,Weifang,750
Shandong,Yantai,600
Shandong,Zhaozhuang,1470
Shandong,Zibo,100
Shanxi,Datong,600
Shanxi,Jincheng,1250
Shanxi,Jinzhong,300
Shanxi,Linfen,2000
Shanxi,Lvliang,1100
Shanxi,Shuozhou,900
Shanxi,Taiyuan,600
Shanxi,Yuncheng,700
Shanxi,Changzhi,500
Shaanxi,Baoji,600
Shaanxi,Weinan,4400
Shaanxi,Xianyang,1000
Shaanxi,Yanyan,2300
Shaanxi,Yulinx,10460
Shanghai,Shanghai,1000
Sichuan,Dazhou,900
Sichuan,Luzhou,450
Sichuan,Mianyang,150
Tianjin,Tianjin,500
Sinkiang,Aksu,400
Sinkiang,Bayingolin,565
Sinkiang,Changji,150
Sinkiang,Hami,1200
Sinkiang,Shihezi,600
Sinkiang,Urumqi,2300
Sinkiang,Wujiaqu,500
Yunnan,Honghe,100
Yunnan,Kunming,500
Yunnan,Qujing,500
Yunnan,Zhaotong,260
Zhejiang,Ningbo,260
Zhejiang,Zhoushan,400
Chongqing,Chongqing,2470
