Grid,Prov,City,Loss
AC,Anhui,Jiangsu,0.017
AC,Anhui,Zhejiang,0.01
AC,Beijing,Shandong,0.026
AC,Beijing,Tianjin,0.012
AC,Gansu,Ningxia,0.025
AC,Gansu,Shaanxi,0.026
AC,Guizhou,Chongqing,0.01
AC,Guizhou,Guangdong,0.058
AC,Hebei,Beijing,0.013
AC,Hebei,Henan,0.01
AC,Hebei,Shandong,0.023
AC,Heilongjiang,Jilin,0.021
AC,Henan,Hubei,0.029
AC,Hunan,Guangdong,0.022
AC,E_InnerMongo,Heilongjiang,0.032
AC,E_InnerMongo,Jilin,0.026
AC,W_InnerMongo,Beijing,0.041
AC,W_InnerMongo,Hebei,0.01
AC,W_InnerMongo,Shanxi,0.013
AC,Jiangsu,Shanghai,0.027
AC,Jilin,Liaoning,0.02
AC,Gansu,Qinghai,0.034
AC,Shaanxi,Shanxi,0.022
AC,Shanxi,Beijing,0.02
AC,Shanxi,Hebei,0.014
AC,Shanxi,Henan,0.029
AC,Shanxi,Jiangsu,0.036
AC,Sichuan,Chongqing,0.011
AC,Sinkiang,Gansu,0.042
AC,Yunnan,Guangxi,0.037
AC,Zhejiang,Fujian,0.042
AC,Zhejiang,Shanghai,0.023
AC,Sichuan,Tibet,0.139
AC,Hubei,Hunan,0.024
AC,Jiangxi,Hunan,0.024
AC,Fujian,Guangdong,0.021
DC,Gansu,Hunan,0.093
DC,Guangxi,Guangdong,0.044
DC,Guizhou,Guangdong,0.045
DC,Hainan,Guangdong,0.016
DC,Hubei,Guangdong,0.043
DC,Hubei,Jiangsu,0.04
DC,Hubei,Shanghai,0.047
DC,E_InnerMongo,Liaoning,0.042
DC,E_InnerMongo,Shandong,0.053
DC,W_InnerMongo,Jiangsu,0.067
DC,W_InnerMongo,Shandong,0.053
DC,Liaoning,Hebei,0.017
DC,Ningxia,Shandong,0.057
DC,Ningxia,Zhejiang,0.07
DC,Qinghai,Tibet,0.046
DC,Shaanxi,Henan,0.013
DC,Shaanxi,Sichuan,0.029
DC,Shanxi,Hebei,0.049
DC,Sichuan,Jiangsu,0.084
DC,Sichuan,Shanghai,0.077
DC,Sichuan,Zhejiang,0.069
DC,Sinkiang,Anhui,0.093
DC,Sinkiang,Henan,0.087
DC,Yunnan,Guangdong,0.063
DC,Yunnan,Guangxi,0.049
DC,Qinghai,Henan,0.066
DC,Shaanxi,Hubei,0.05
DC,Sichuan,Jiangxi,0.07
